1,Aloo baingan masala,Diced Potatoes and Brinjal stuffed with spices in curry,110,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Aloo_gobi.jpg/120px-Aloo_gobi.jpg,TRUE
2,Aloo baingan,Diced Potatoes and Brinjal in curry,120,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Baati.jpg/120px-Baati.jpg,TRUE
3,Aloo gobi,Cauliflower with potatoes sauteed with garam masala.,130,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Eggplant-%26-Tomato-%28Bhurta%29-optimized.jpg/120px-Eggplant-%26-Tomato-%28Bhurta%29-optimized.jpg,TRUE
4,Aloo ki Tikki,Patties of potato mixed with some vegetables fried,140,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Bhatura.jpg/120px-Bhatura.jpg,TRUE
5,Aloo Matar,Potatoes and peas in curry.,110,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/India_food.jpg/120px-India_food.jpg,TRUE
6,Aloo methi,"Methi leaves and potatoes nicely flavoured. Potato, fresh Methi leaves.",128,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Chicken_makhani.jpg/120px-Chicken_makhani.jpg,TRUE
7,Amritsari Kulcha,type of bread,130,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Delhi_Chaat_with_saunth_chutney.jpg/120px-Delhi_Chaat_with_saunth_chutney.jpg,TRUE
8,Arbi masala,Edoes cooked in onion tomato masala.,132,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Choleindia.jpg/120px-Choleindia.jpg,TRUE
9,Baati,Ghee (Clarified butter). Wheat flour.,134,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Chapatiroll.jpg/120px-Chapatiroll.jpg,TRUE
10,Baingan bharta,Eggplant (Baingan) cooked with tomatoes or onions.,136,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Chana_masala.jpg/120px-Chana_masala.jpg,TRUE
11,Bharwaan baigan,Brinjal stuffed with spices,138,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Dal_Makhani.jpg/120px-Dal_Makhani.jpg,TRUE
12,Bharwein karela,Bitter gourd stuffed with spices,140,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Kashmiri_Dum_Aaloo.JPG/120px-Kashmiri_Dum_Aaloo.JPG,TRUE
13,Bhatura,"Bread. All purpose flour, Vegetarian",142,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Poha%2C_a_snack_made_of_flattened_rice.jpg/120px-Poha%2C_a_snack_made_of_flattened_rice.jpg,TRUE
14,Bhindi Masala,Okra sautéed with onions and tomatoes.,144,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Gajar_Ka_Halwa.JPG/120px-Gajar_Ka_Halwa.JPG,TRUE
15,Biryani,"Main or side dish. Mixed rice dish, optional spices, optional vegetables, meats or seafood. Can have with plain yogurt.",146,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Cachuri2_flipped.jpg/120px-Cachuri2_flipped.jpg,TRUE
16,Butter Chicken,Chicken ,148,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Kheer.jpg/120px-Kheer.jpg,FALSE
17,Chaat,Typical north Indian tadka.,150,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Khichuri-edit.jpg/120px-Khichuri-edit.jpg,TRUE
18,Chapathi,Bread. Whole wheat flour.,152,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Paneer_Kofta_Curry_-_Kolkata_2011-09-20_5426.JPG/120px-Paneer_Kofta_Curry_-_Kolkata_2011-09-20_5426.JPG,TRUE
19,Chicken Razala,Bhopali style chicken cooked in a rich gravy with mint.,154,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Matkakulfi.jpg/120px-Matkakulfi.jpg,FALSE
20,Chole bhature,"Main. Chick peas, assorted spices, wheat flour and yeast for bhatura.",156,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Matkakulfi.jpg/120px-Matkakulfi.jpg,TRUE
21,Daal Baati Churma,Rajasthani special.,158,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Saagroti.jpg/120px-Saagroti.jpg,TRUE
22,Daal Puri,Stuffed dal in parathas.,160,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Aloo_gobi.jpg/120px-Aloo_gobi.jpg,TRUE
23,Dal makhani (Kali Dal),Main. A typical type of lentil is used.,162,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Baati.jpg/120px-Baati.jpg,TRUE
24,Dal,"Main. Assorted types of lentils, such as toor, urad, chana, masoor dal.",164,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Eggplant-%26-Tomato-%28Bhurta%29-optimized.jpg/120px-Eggplant-%26-Tomato-%28Bhurta%29-optimized.jpg,TRUE
25,Dal fry with tadka,Typical north Indian tadka.,166,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Bhatura.jpg/120px-Bhatura.jpg,TRUE
26,Dum Aloo,Potatoes cooked in Curry.,168,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/India_food.jpg/120px-India_food.jpg,TRUE
27,Poha,"specialty from Madhya Pradesh. Common snack in Central part of India. Flattended rice, potato, turmeric.",170,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Chicken_makhani.jpg/120px-Chicken_makhani.jpg,TRUE
28,Gajar ka Halwa,"A sweet dish native to U.P./Punjab. Carrot, Milk, Ghee, Cashew.",172,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Delhi_Chaat_with_saunth_chutney.jpg/120px-Delhi_Chaat_with_saunth_chutney.jpg,TRUE
29,Hari Mutter ka Nimona (Green peas daal),Typical north Indian tadka.,174,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Choleindia.jpg/120px-Choleindia.jpg,TRUE
30,Kachori,Rajasthani /marwari special.,176,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Chapatiroll.jpg/120px-Chapatiroll.jpg,TRUE
31,Kadhi Pakoda,Gram Flour with Yogurt with gramflour fried balls.,178,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Chana_masala.jpg/120px-Chana_masala.jpg,TRUE
32,Karela Bharta,Bitter gourd/melon.,180,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Dal_Makhani.jpg/120px-Dal_Makhani.jpg,TRUE
33,Katha meetha petha/halwakadoo,,182,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Kashmiri_Dum_Aaloo.JPG/120px-Kashmiri_Dum_Aaloo.JPG,TRUE
34,Kheer,"Rice Cooked with Milk and dry fruits. Milk and Rice, dry Fruits.",184,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Poha%2C_a_snack_made_of_flattened_rice.jpg/120px-Poha%2C_a_snack_made_of_flattened_rice.jpg,TRUE
35,Khichdi,Rice cooked with daal and veggies and sauteed.,186,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Gajar_Ka_Halwa.JPG/120px-Gajar_Ka_Halwa.JPG,TRUE
36,Kofta,"Gram flour balls fried with vegetables. Gram flour, veggies, rolled into balls with gram flour and fried in oil and then cooked with curry.",188,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Cachuri2_flipped.jpg/120px-Cachuri2_flipped.jpg,TRUE
37,Lauki ke kofte,Bottle gourd.,190,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Kheer.jpg/120px-Kheer.jpg,TRUE
38,Lauki ki subji,Bottle Gourd.,192,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Khichuri-edit.jpg/120px-Khichuri-edit.jpg,TRUE
39,Litti chokha,A baked salted wheat flour cake filled with sattu (baked chickpea flour) and some special spices,194,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Paneer_Kofta_Curry_-_Kolkata_2011-09-20_5426.JPG/120px-Paneer_Kofta_Curry_-_Kolkata_2011-09-20_5426.JPG,TRUE
